0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:05:46 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:05:48 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:05:50 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:06:23 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:06:30 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:06:30 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:06:51 +0530] "GET /spring-mvc-simple/Ctl/User/search HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:06:55 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:07:10 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:07:16 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:08:26 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:08:46 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:08:52 +0530] "GET /spring-mvc-simple/Ctl/User/search HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:17 +0530] "GET /spring-mvc-simple HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:17 +0530] "GET /spring-mvc-simple/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:19 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:21 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:27 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:27 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:35 +0530] "GET /spring-mvc-simple/Ctl/User/search HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:37 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:42 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:13:47 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:15:46 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:15:52 +0530] "POST /spring-mvc-simple/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:15:52 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:15:56 +0530] "GET /spring-mvc-simple/Ctl/User/search HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:15:58 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:16:04 +0530] "GET /spring-mvc-simple/Login?operation=logout HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:16:09 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:16:29 +0530] "GET /spring-mvc-simple/Ctl/User/search HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:16:35 +0530] "GET /spring-mvc-simple/Welcome HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:16:38 +0530] "GET /spring-mvc-simple/Login HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [20/Dec/2024:01:16:48 +0530] "GET /spring-mvc-simple/Ctl/User?id=1 HTTP/1.1" 200 1967
